candidate_id,mpid,full_name_mm,honorific,name,alias,photo_url,birthdate_orig,birthdate,age,gender,ethnicity_mm,ethnicity,religion_mm,religion,education_mm,education,occupation_mm,occupation,retired,ward_village_mm,house,state_mm,state,constituency_name_mm,constituency_number,constituency_name,constituency_name_code,ST_PCODE,DT_PCODE,TS_PCODE,AM_PCODE,party_mm,party,party_short,independent_logo,election,votes,total_votes
d64a48eb2e172f5c5cacefb427f008db,,__________,U,Thet Htun,,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UThetTun.PNG,1/15/1965,23757,52.2,M,___,Bamar,_____,Buddhist,"B.Sc (Amaths),D.A.Psy,MBA",B.Sc (Amaths);D.A.Psy;MBA,______,researcher,,_____ __ ________________________________,amyotha,_______,Yangon,_______,6,Yangon,Yangon-6,MMR013,,,MMR013HLA006,_______________________,National Development Party,NDP,,2017,,
b74d77ddb1434b95a21a28e72a21fbbc,,_____________(_)_____________,U,Khin Maung Yi,Khaing Maung Kyi,https://storage.googleapis.com/staticassets/candidate-photos/2017/AMT_UKhinMaungYee(Ka)KhineMaungYee.PNG,10/21/1969,25497,47.4,M,___,Bamar,_____,Buddhist,"Higher Diploma in Business-VUC,Japanese.","Higher Diploma in Business-VUC,Japanese.",____________________________,japanese school headmaster,,________,amyotha,_______,Yangon,_______,6,Yangon,Yangon-6,MMR013,,,MMR013HLA006,_______________________________,National Democratic Force,NDF,,2017,,
c32bf97b60da1fb5799d40f5e26caecc,,_________________,Dr,Maung Maung,,https://storage.cloud.google.com/staticassets/candidate-photos/2017/AMT_DrMaungMaung.PNG,4/12/1948,17635,68.9,M,___,Bamar,_____,Buddhist,"B.D.S,F.I.CC D.E,F.I.CD,_________ ",B.D.S;F.I.CC D.E;F.I.CD;Abidharmadara,______________________,dentist,,(__)______________________,amyotha,_______,Yangon,_______,6,Yangon,Yangon-6,MMR013,,,MMR013HLA006,_________________________________,National League for Democracy,NLD,,2017,,
a0330165f8445ddb35a32ca13ef9e265,,____________,U,Sein Maung,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_USainMaung.PNG,9/20/1948,17796,68.5,M,___ ,Bamar,_____,Buddhist,(_)_____ ____________________ _____________,9th standard,___________________ (__________),Ministry of planning and economic development,,_,pyithu,_________,Sagaing,_______________,0,Monywa,Monywa-0,MMR005,MMR005D003,MMR005012,,__________________________________,National Unity Party,NUP,,2017,,
5c72dd8b41beb7093036e946c593b652,,_____________________,Dr,Win Myint Aung,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DrWinMyintAung.PNG,11/28/1956,20787,60.3,M,___,Bamar,_____,Buddhist,"M.B, B.S","M.B, B.S",______,doctor,,___________,pyithu,_________,Sagaing,_______________,0,Monywa,Monywa-0,MMR005,MMR005D003,MMR005012,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
bf96633cc75f1c076c8f7663e11a5178,,__________________,Dr,Than Htaike Oo,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_DrThenHtikeOo.PNG,8/14/1970,25794,46.6,M,___,Bamar,_____,Buddhist,"Ph.D (H.C) (Sirilamka), F.R.C.P(M.A)",Ph.D (H.C) (Sirilamka); F.R.C.P(M.A),_________________________ M.D-Great General Business Group,homeopathic doctor,,___________________ _______________________ ____(___________________________),pyithu,_________,Sagaing,_______________,0,Monywa,Monywa-0,MMR005,MMR005D003,MMR005012,,_____________________,People Democracy Party,PDP,,2017,,
c115afc8d27eeb7e426e5de6bdb647f3,,_____________,U,Nyunt Hlaing,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UNyuntHlaing.PNG,3/11/1970,25638,47.0,M,___,Bamar,_____,Buddhist,"B.A, International Master of Public Administration (China)",B.A; International Master of Public Administration (China),___________,plantation owner,,_,pyithu,_________,Sagaing,_______________,0,Monywa,Monywa-0,MMR005,MMR005D003,MMR005012,,_______________________,National Development Party,NDP,,2017,,
bca976de386a717a00b2e756f91b42cd,,____________,U,Nyunt Aung,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UNyuntAung.PNG,2/11/1972,26340,45.1,M,___,Bamar,_____,Buddhist,B.Sc _________,B.Sc,________________,car rental business,,______________,pyithu,_________,Sagaing,_______________,0,Monywa,Monywa-0,MMR005,MMR005D003,MMR005012,,_________________________________,National League for Democracy,NLD,,2017,,
40986c8c582979c7054bd646157e984a,,________,U,Tint Wai,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UTintWai.PNG,6/7/1947,17325,69.8,M,____,Mon,_____,Buddhist,_________________________,High School,__/____ (__________),headmaster,1,_____________________,pyithu,____,Mon,___________________,0,Chaungzon,Chaungzon-0,MMR011,MMR011D001,MMR011003,,__________________________________,National Unity Party,NUP,,2017,,
e493f4cfb739ce84a531b720fafb3063,,________________,U,Aung Kyi Thein,,https://storage.googleapis.com/staticassets/candidate-photos/2017/PY_UAungKyiThein.PNG,5/29/1958,21334,58.8,M,____,Mon,_____,Buddhist,B.E (MECHANICAL),B.E (MECHANICAL),________________ (______),director,1,________________,pyithu,____,Mon,___________________,0,Chaungzon,Chaungzon-0,MMR011,MMR011D001,MMR011003,,____________________________________________,Union Solidarity And Development Party,USDP,,2017,,
